PCA1,PCA2
-2.3353788338634605,-1.807458093771104
-2.334829795339726,-1.807539898020341
-2.3347415296438436,-1.8075166983407662
-2.3353468578139847,-1.8073354379498607
-2.3346692784541214,-1.8074465349264242
-2.3337855657964037,-1.8076046069085123
-2.3336463662771165,-1.8075930143620922
-2.3331240011852175,-1.807668740095044
-2.3332151953553546,-1.8076046439262292
-2.3333330775083247,-1.8075344659251542
-2.3335794857039094,-1.8074349985679943
-2.333646434275991,-1.807376427644807
-2.333121641592829,-1.8074527065931498
-2.332880588977729,-1.8074643249970623
-2.333614458226515,-1.8072537718235637
-2.333962719275396,-1.8071310935713372
-2.3340539134455334,-1.8070669974025229
-2.33329874186646,-1.8071957766020168
-2.332929148415232,-1.8072366877332564
-2.333124637823442,-1.8071488240827422
-2.3329078310489146,-1.8071549171857606
-2.331948938969736,-1.8073301215466302
-2.331964953718413,-1.8072831577565975
-2.3311079142500137,-1.807435151277667
-2.33148043593298,-1.807306944353304
-2.3321876169564173,-1.8071024730673328
-2.3325625662306466,-1.806973712927579
-2.3317322001940832,-1.807119627932364
-2.3307199467002366,-1.8073069926417793
-2.330864502285042,-1.8072307361244193
-2.330725302765755,-1.8072191435779985
-2.3304066579314444,-1.807248444204841
-2.330138917576029,-1.807266144385748
-2.3303853405651274,-1.8071666736573453
-2.3311943744418606,-1.8069389914763074
-2.3313122565948303,-1.8068688134752318
-2.331352531735076,-1.8068163210683297
-2.3318050734710325,-1.8066698786503799
-2.3336399625500226,-1.8062084178693092
-2.3342695513542493,-1.806021628806268
-2.3348239604944983,-1.8058519721772748
-2.3347114341645305,-1.8058343011698361
-2.3344437083601117,-1.8058519980347667
-2.3346367701770587,-1.805764687599643
-2.3353706391833278,-1.8055541344814106
-2.336436754974834,-1.8052678667904516
-2.3360162424937148,-1.8053203816836034
-2.336391176974431,-1.8051916249150923
-2.3370207657786572,-1.805004835852051
-2.3369591880656078,-1.804975554340215
-2.33674238129108,-1.8049816474432343
-2.3385020909486096,-1.804537319040945
-2.3400556673082837,-1.80413996564418
-2.3413255035998954,-1.8038072727918455
-2.3397772830632233,-1.8041167771800968
-2.3395095572588045,-1.8041344740450271
-2.340037293209735,-1.803970895877052
-2.339592520337046,-1.8040289393870739
-2.338810660532624,-1.804163800474095
-2.338210688185485,-1.804257211856486
-2.3387893431663067,-1.8040820299265992
-2.3398312131172405,-1.8038012875365337
-2.339359767055233,-1.8038654095075737
-2.339989355616943,-1.8036786204997985
-2.3410821445977685,-1.8033862743478213
-2.341556519134031,-1.8032348565283924
-2.3433938358042843,-1.8027728425319305
-2.343793030919086,-1.802638557091283
-2.3416021500972786,-1.8030945151129758
-2.341797624711975,-1.803006654833704
-2.341888833675626,-1.8029425552936469
-2.3402363326943942,-1.8032758237923554
-2.3399952803218107,-1.803287442141001
-2.3401907549365077,-1.8031995818617295
-2.3427701864984387,-1.8025684498649317
-2.341733672613023,-1.802761343191217
-2.3409784862404366,-1.8028901257619534
-2.3417632890701103,-1.8026679655105666
-2.3418302373996758,-1.8026093946426456
-2.3427920727466227,-1.8023468910621439
-2.3427571534293783,-1.8023115344605332
-2.3428992814229206,-1.8022358311585633
-2.342017996356465,-1.80239334992526
-2.3409305634411584,-1.802597847013457
-2.3410217576112955,-1.8025337508446428
-2.3401380449535774,-1.8026918228267301
-2.3369989161847533,-1.8033638737990174
-2.3367069299887655,-1.803387099280818
-2.3355176439776457,-1.8036148073193472
-2.334917671873023,-1.803708218646472
-2.3356248676899733,-1.8035037439892585
-2.3332545122086326,-1.8040006018714327
-2.33221801311673,-1.8041934918264753
-2.330951120092887,-1.8044388854591777
-2.330710067720304,-1.8044505038078233
-2.3305708829945297,-1.8044389078901606
-2.330150370513411,-1.8044914227833124
-2.3297274306835445,-1.804544490836588
-2.3314362065176693,-1.804111769567454
-2.332116728902784,-1.8039133734265251
-2.3304399823234965,-1.8042521671708605
-2.330043715682949,-1.8042991567631186
-2.3296232034443465,-1.804351671601004
-2.3291517721758526,-1.8044157902008011
-2.3287555055353053,-1.8044627797930592
-2.3285411411455543,-1.804468316309444
-2.3280672674922838,-1.8045329914958745
-2.3271350486024245,-1.804702117395726
-2.3270467829065415,-1.8046789177161509
-2.3273441249255313,-1.8045678432258363
-2.3265380047295396,-1.8047082329297277
-2.3264254931930854,-1.8046905585510467
-2.3271569346080914,-1.8044805586482051
-2.326787356192893,-1.8045214663529359
-2.327111371643718,-1.8044043133463363
-2.32717830517977,-1.8043457458496581
-2.3272185803200163,-1.8042932534427556
-2.3278481691242425,-1.804106464379715
-2.3286838909838075,-1.803872700366416
-2.3293134797880337,-1.8036859113033747
-2.328560720764194,-1.8038141407139865
-2.3280868471109235,-1.803878815900418
-2.3282556482937844,-1.8037970341374303
-2.3279903500806287,-1.8038141777869703
-2.3281591515060067,-1.8037323959687168
-2.327275438848288,-1.8038904679508045
-2.3268282531778497,-1.8039490613049742
-2.3257165596284572,-1.804159087065308
-2.3239355326046103,-1.8045216449201007
-2.3232070342148563,-1.8046443456585761
